1,Club Orange,0.00123,ml,0,9
2,Coca cola,0.00158,ml,0,9
3,Fanta Lemon,0.00171,ml,0,9
4,Fanta Orange,0.0012,ml,0,9
5,Fior Uisce Sparkling,0.01,ml,0,9
6,Fior Uisce Still,0.00006,ml,0,9
7,Kerry Spring Still water,0.00256,ml,0,9
8,Lilt,0.487,ml,0,9
9,Mi Wadi Orange,0.0083,ml,0,9
10,Oasis Citrus,0.00189,ml,0,9
11,Oasis Summer Fruits,0.00189,ml,0,9
12,Pink Lemonade,0.00771,ml,0,9
13,River Rock Forest Fruits,0.0006,ml,0,9
14,River Rock Lemon and Lime,0.0065,ml,0,9
15,River Rock Sparkling,0.009,ml,0,9
16,River Rock Still,0.009,ml,0,9
17,Sprite,0.001,ml,0,9
18,Ardrahan,0.008,g,0,5
19,Brie Cheese Wheel,0.0024,g,0,5
20,Cashel Blue,0.0081,g,0,5
21,Cheddar,0.0071,g,0,5
22,Cottage cheese,0.0044,g,0,5
23,Creme Fraiche,0.0034,g,0,5
24,Durrus Large,0.0116,g,0,5
25,Emmental Cheese,0.0169,g,0,5
26,Feta Cheese,0.017,g,0,5
27,Goats cheese,0.014,g,0,5
28,Gorganzola Cheese,0.0079,g,0,5
29,Halloumi,0.017,g,0,5
30,Laughing Cow Cheese,0.0142,g,0,5
31,Mascarpone Cheese,0.0061,g,0,5
32,Milleens,0.013,g,0,5
33,Mini Babybel,0.29,g,1,5
34,Mozzarella,0.0074,g,0,5
35,Parmesan granaforma grated,0.00815,g,0,5
36,Philadelphia Full Fat,0.012,g,0,5
37,Provolone soft,0.0099,g,0,5
38,Ricotta,0.0058,g,0,5
39,Butter,0.041,g,0,3
40,Butter - mini,0.7,g,1,3
41,Butter - unsalted,0.00639,g,0,3
42,Cream,0.00236,g,0,3
43,Cream - clotted,0.023,g,0,3
44,Creme Anglaise,0.0185,g,0,3
45,Creme brulee,0.0058,g,0,3
46,Cr̬me Fraiche,0.00487,g,0,3
47,Egg Yolks,0.25,ml,1,3
48,Eggs,0.16,ml,1,3
49,Eggs whites,0.25,ml,1,3
50,Eggs - Duck,0.42,ml,1,3
51,Eggs - Quail,0.33,ml,1,3
52,Ice cream -  Glenown,0.069,g,0,3
53,Ice cream -  Glenown bourbon vanilla,0.069,g,0,3
